asin,title,score,category,brand,sponsored
B001OHV1H4,Great Product,4.8,Beauty,Aveeno,False
B0009RF9DW,Met all my expectations,4.9,Beauty,Clinique,False
B000FI4S1E,Great item,4.9,Beauty,Revlon,False
B00W259T7G,Great soap,4.8,Beauty,Covergirl,False
B0010ZBORW,Small Sized Sea Sponge,4.0,Beauty,CeraVe,False
B0013NB7DW,YES It Works Quite Well ~ But Unpleasent Odor ~,4.5,Beauty,Neutrogena,False
B001LNODUS,Fragrant Lavender Lotion,4.0,Beauty,Nivea,False
B019FWRG3C,This is a wonderful shower gel that has a delightful lavender scent that ...,4.0,Beauty,Cetaphil,False
B01E7UKR38,"Great formula, my daughter loves the color",4.4,Beauty,Neutrogena,True
B00RZYW4RG,Five Stars,4.8,Beauty,Revlon,False
B019809F9Y,Five Stars,4.4,Beauty,Cetaphil,False
B01DLR9IDI,Awesome Gift!,5.0,Beauty,Clean & Clear,False
B00DY59MB6,Lingering Aftertaste,3.4,Beauty,Revlon,False
B000GLRREU,This is scientology of personal hygiene equipments. Everyone outside ...,4.6,Beauty,Clean & Clear,False
B000NKJIXM,"No burning, but don't care for the taste",3.7,Beauty,L'Oréal,False
B000FOI48G,This is scientology of personal hygiene equipments. Everyone outside ...,4.6,Beauty,Covergirl,False
B00EYZY6LQ,"Great Fragrance, Tons of Bounce!!",4.3,Beauty,Nivea,False
B000084EEF,Great toy!,4.5,Pet_Supplies,Taste of the Wild,False
B0002AB9FS,Five Stars,4.5,Pet_Supplies,Purina,False
B00006IX59,we love it,4.7,Pet_Supplies,Pedigree,True
B000084F45,High quality product,4.5,Pet_Supplies,IAMS,False
B000255PFI,A must have for fish owners,4.8,Pet_Supplies,Frontline,False
B000255NCI,Good All Around Test Kit,4.6,Pet_Supplies,Royal Canin,False
B000084ES8,Kitty LOVES eating this food. He is a shelter ...,4.2,Pet_Supplies,Hill's Science Diet,False
B0002565SY,great - thanks,4.7,Pet_Supplies,Purina,True
B0002565TI,great - thanks,4.7,Pet_Supplies,Hill's Science Diet,False
B000084F1Z,Outstanding natural snack for your dog,4.4,Pet_Supplies,Greenies,False
B00025K0R6,The Best There Is!,4.6,Pet_Supplies,Pedigree,False
B000084E6V,A+++,4.1,Pet_Supplies,Pedigree,False
B000084E7Y,Two Stars,4.3,Pet_Supplies,KONG,False
B000255NAK,Perfect,4.5,Pet_Supplies,Taste of the Wild,False
B00020SVDG,Very nice,4.4,Pet_Supplies,Pedigree,False
B000255OIG,Really great treats!,4.6,Pet_Supplies,Frontline,False
B0002AR19Q,Pet Owners MUST have Zoom Grooms,4.5,Pet_Supplies,Rachael Ray Nutrish,False
B000062WUT,Two Stars,4.3,Pet_Supplies,Frontline,True
B000255NXC,I don't know what I'd do without it..,4.6,Pet_Supplies,Blue Buffalo,False
B0001AB42W,very effective when it is working,4.5,Pet_Supplies,Blue Buffalo,False
B00006IEEV,Five Stars,4.7,Office,Crayola,False
B00006IFEU,Great for Posters,4.8,Office,Pilot,False
B00006IFI5,Great for Notecards & Notebooks,4.7,Office,Papermate,False
B00006JNJD,Feels clumsy,4.8,Office,Scotch,False
B00006IFJ0,not too bright,4.5,Office,Staples,True
B00005249G,an excellent value,4.7,Office,Papermate,False
B00006IE7J,Four Stars,4.7,Office,Swingline,False
B00006IAKM,Perfect for homework.,4.7,Office,Elmer's,False
B00006JNNS,"A MUST for Productivity and Performance, Required for the 7-Hour School Week",4.7,Office,BIC,False
B00006IFAY,Five Stars,4.5,Office,Avery,False
B00000JRRD,Comfy,4.4,Office,Fellowes,False
B00004Z4BK,Tough Tape,4.5,Office,Papermate,False
B00006IF67,The best tape around in an even longer length !!!,4.8,Office,Five Star,False
B00002NDS3,Does what it's supposed to - good buy from Amazon,4.6,Office,Mead,False
B00004Z5WK,Five Stars,4.6,Office,Mead,False
B00006IEI3,This is a LARGE sharpener,4.4,Office,Avery,True
B00002NDRX,Four Stars,4.6,Office,Mead,False
B00002NDRT,Four Stars,4.6,Office,Staples,False
B00004Z593,Five Stars,4.3,Office,BIC,False
B00006IDQT,"Very Orange but excellent quality, top notch paper.",4.6,Office,Crayola,False
B0002UEOLO,Works as Stated,4.8,Automotive,Pennzoil,False
B00029WYEY,Great product,4.8,Automotive,Rain-X,False
B00068XCQU,Five Stars,4.8,Automotive,Armor All,False
B0007ZJ1IK,If only the dial was easier to read,3.9,Automotive,NGK,True
B00080QHMM,PSSST...,4.5,Automotive,Meguiar's,False
B0002JN2EU,The best product you will ever buy!,4.7,Automotive,Armor All,False
B0006IX7Y2,Save your self!,4.7,Automotive,Michelin,False
B0002SRCMO,So much better that trying to fight with a screwdriver to get ...,4.7,Automotive,Castrol,False
B0009IK5VW,Four Stars,4.3,Automotive,Castrol,False
B0002U2V1Y,Wwww...wow!!!,4.6,Automotive,Michelin,False
B0002H335A,solid but fiddly,4.6,Automotive,Rain-X,False
B0000AY3X0,Dog Towel,4.7,Automotive,Bosch,False
B0000AY69V,MAKE THIS IN A BATH TOWEL SIZE PLEASE!!,4.7,Automotive,Chemical Guys,False
B0001CMUV4,Stops all annoying banging & clanking,4.7,Automotive,Meguiar's,False
B0009IBJAS,Awesome charger for the price,4.6,Automotive,Castrol,False
B0002UEN1U,Best RTV sealant,4.8,Automotive,Chemical Guys,True
B0002BEWZQ,"Worked, but lacking some details",4.6,Automotive,Castrol,False
B0002Z9QXK,Perefect!!,4.5,Automotive,Bosch,False
B0006GF5SK,Five Stars,4.6,Automotive,Michelin,False
B0006SU3QW,Five Stars,4.5,Automotive,Valvoline,False
